a,b,c,d,e,f,g,h,i,j,k,l,m
128199,94743,2082159,42.37304729,-71.07921562,42.336346,-71.081034,93999,32112,42.17378422,-71.051779,42.177259,-71.059889
114732,53124,47334,33.59357073,-84.45364569,33.592249,-84.421348,53135,32109,33.58045592,-84.37779287,33.565381,-84.399404
208951,136032,217562393,37.42518375,-83.37605374,40.781545,-73.94959,161296,32083,34.78783947,-96.68119864,34.76331,-96.683102
41946,171995,1503499,39.99023707,-75.15899493,39.916569,-75.159038,121216,32066,39.93045798,-75.10931516,39.927344,-75.102271
169384,148591,1206288,35.84789803,-78.75999878,35.786011,-78.680179,146235,32048,35.62313909,-78.49525509,35.636363,-78.471125
199169,136032,135630278,39.59821511,-79.75265549,40.781545,-73.94959,68088,32034,42.2970835,-89.63625202,42.288355,-89.618708
85867,32718,46525,36.31065443,-119.3219992,36.301759,-119.31893,32659,32026,36.34645185,-119.3050213,36.339482,-119.292053
174874,79703,333050,38.00286595,-84.50931839,38.03031,-84.502213,81925,31983,38.20989539,-84.55580325,38.196093,-84.573558
183616,83757,413095,30.16387433,-92.01370901,30.222019,-92.003911,85108,31976,30.52093023,-92.08377543,30.523547,-92.071939
63701,102693,336505,42.38051333,-83.1717815,42.420664,-83.157255,102434,31954,42.31239869,-83.11395308,42.308601,-83.124344
109722,29751,91559,34.42586611,-119.713371,34.426299,-119.712792,30034,31949,34.44078283,-119.8081816,34.430163,-119.799252
203761,112094,204103,37.0370966,-94.51284354,37.072882,-94.525957,76863,31924,37.42998302,-94.69799488,37.390412,-94.709101
124264,111767,46707,39.08864936,-94.43504588,39.08464,-94.458165,111798,31910,39.02852119,-94.43227582,39.004484,-94.454313
171347,80127,42562,37.83600882,-85.95263583,37.848697,-85.956534,80169,31899,37.71843013,-85.87345712,37.700793,-85.856285
194808,136032,125252305,39.75932404,-79.54014308,40.781545,-73.94959,3175,31863,33.20074922,-86.28071288,33.160063,-86.248641
