b.censusTracts,=,,,,
,-80.189825,25.775349,1178],,
,-80.248432,25.775559,6293],,
,-80.225856,25.775786,3798],,
,-80.412387,25.775971,4936],,
,-80.232247,25.776054,3582],,
,-80.218009,25.776056,5461],,
,-80.237517,25.776229,1592],,
,-80.138058,25.776755,3000],,
,-80.350045,25.776797,4356],,
,-80.34373,25.776876,3897],,
,-80.211547,25.776991,5733],,
,-80.189292,25.777095,826],,
,-80.134688,25.777274,2944],,
,-80.13278,25.777339,2014],,
,-80.362718,25.777551,3933],,
,-80.404553,25.777631,3648],,
,-80.327183,25.777712,3978],,
,-80.396197,25.777761,4572],,
,-80.192906,25.778524,1622],,
,-80.141238,25.778551,2978],,
,-80.20372,25.779241,3027],,
,-80.328947,25.779403,5340],,
,-80.276942,25.779619,6062],,
,-80.191197,25.780182,4655],,
,-80.235196,25.781293,2451],,
,-80.24881,25.782023,5344],,
,-80.223715,25.782109,3412],,
,-80.260554,25.782531,1659],,
,-80.267491,25.782533,3190],,
,-80.142622,25.783247,2389],,
,-80.199706,25.783748,2320],,
,-80.13396,25.783969,2436],,
,-80.138226,25.784258,2327],,
,-80.209498,25.786961,2705],,
,-80.236441,25.787402,3813],,
,-80.143853,25.788026,4825],,
,-80.132272,25.788726,2625],,
,-80.153975,25.788767,3127],,
,-80.313495,25.789678,7620],,
,-80.219706,25.789714,4450],,
,-80.248096,25.789726,7001],,
,-80.138171,25.790413,2158],,
,-80.229331,25.79164,6315],,
,-80.201109,25.792517,4416],,
,-80.185815,25.79314,6368],,
,-80.130817,25.795076,1836],,
,-80.191088,25.798391,2553],,
,-80.198383,25.798796,1630],,
,-80.251975,25.799265,7],,
,-80.215095,25.799385,5752],,
,-80.232863,25.799752,5323],,
,-80.138536,25.800446,3152],,
,-80.187289,25.80133,3442],,
,-80.126635,25.802128,2930],,
,-80.2459,25.80414,5465],,
,-80.359312,25.804555,4622],,
,-80.235223,25.805941,4173],,
,-80.217611,25.805941,5388],,
,-80.228532,25.806085,5386],,
,-80.198553,25.807709,5647],,
,-80.124355,25.807724,2733],,
,-80.213057,25.808117,3421],,
,-80.187202,25.808814,2642],,
,-80.41648,25.811395,3235],,
,-80.29618,25.812782,5981],,
,-80.276323,25.814398,4855],,
,-80.378172,25.816044,4539],,
,-80.215475,25.816573,4963],,
,-80.130772,25.817039,5062],,
,-80.33322,25.817281,5038],,
,-80.266945,25.81791,6487],,
,-80.22826,25.818404,4005],,
,-80.244552,25.818522,2510],,
,-80.200356,25.818527,5485],,
,-80.23642,25.819623,3546],,
,-80.359577,25.819737,6979],,
,-80.192046,25.821088,3573],,
,-80.248499,25.822223,4247],,
,-80.378637,25.822763,7898],,
,-80.184678,25.823332,2453],,
,-80.214032,25.824539,3932],,
,-80.266441,25.826264,3315],,
,-80.282152,25.826777,4049],,
,-80.27626,25.826793,4323],,
,-80.297032,25.826886,5346],,
,-80.232882,25.827685,3778],,
,-80.200367,25.82821,3336],,
,-80.191845,25.828368,2909],,
,-80.22014,25.828657,2815],,
,-80.120565,25.82991,1932],,
,-80.121404,25.830423,2991],,
,-80.282832,25.83262,3900],,
,-80.379352,25.833194,8075],,
,-80.210858,25.833381,4010],,
,-80.29284,25.834487,2498],,
,-80.220557,25.834878,3479],,
,-80.2318,25.834984,3926],,
,-80.275863,25.835366,4864],,
,-80.196712,25.835699,3781],,
,-80.127421,25.836043,2699],,
,-80.26659,25.836746,6140],,
,-80.285761,25.837415,4082],,
,-80.245504,25.838537,2673],,
,-80.18316,25.839366,5527],,
,-80.1199,25.84128,2612],,
,-80.200982,25.841605,4703],,
,-80.220461,25.843885,5354],,
,-80.277297,25.844469,4855],,
,-80.379141,25.844894,3855],,
,-80.307352,25.845876,5451],,
,-80.148937,25.846496,4382],,
,-80.193488,25.84759,4853],,
,-80.29764,25.848116,5768],,
,-80.158543,25.850334,2755],,
,-80.374829,25.850546,2970],,
,-80.179779,25.850743,4545],,
,-80.382405,25.850817,1218],,
,-80.267269,25.851196,4806],,
,-80.308438,25.851482,6109],,
,-80.202503,25.851547,4693],,
,-80.234686,25.852455,5479],,
,-80.121787,25.852468,3812],,
,-80.277325,25.852622,7159],,
,-80.22111,25.852983,6402],,
,-80.131688,25.854047,4953],,
,-80.372491,25.854123,565],,
,-80.139822,25.854409,3790],,
,-80.2483,25.855583,7026],,
,-80.284519,25.85644,4923],,
,-80.215819,25.858906,2069],,
,-80.124604,25.859396,4298],,
,-80.302926,25.85968,6641],,
,-80.311066,25.861161,7688],,
,-80.191055,25.861407,4508],,
,-80.318149,25.862275,4683],,
,-80.426649,25.862699,127],,
,-80.299136,25.862883,6480],,
,-80.267148,25.862935,6447],,
,-80.252518,25.863921,8227],,
,-80.203486,25.864128,4176],,
,-80.12348,25.865048,4106],,
,-80.121668,25.865102,1584],,
,-80.173201,25.86533,4574],,
,-80.219321,25.865416,5553],,
,-80.331679,25.865547,5574],,
,-80.280968,25.865584,5508],,
,-80.360255,25.865655,120],,
,-80.128917,25.867305,4237],,
,-80.235404,25.872169,6711],,
,-80.320427,25.872248,3066],,
,-80.327366,25.87255,5939],,
,-80.335301,25.872684,6568],,
,-80.219446,25.873707,5298],,
,-80.181901,25.873926,2996],,
,-80.201618,25.874348,5002],,
,-80.342685,25.874596,4674],,
,-80.306651,25.874752,6675],,
,-80.318707,25.874758,3942],,
,-80.273575,25.875778,5412],,
,-80.285058,25.875848,5501],,
,-80.295309,25.876657,3722],,
,-80.123769,25.878664,5744],,
,-80.317572,25.879555,7044],,
,-80.195166,25.879856,5303],,
,-80.329484,25.880115,5320],,
,-80.346489,25.880161,5378],,
,-80.336086,25.880317,5069],,
,-80.217828,25.880377,4677],,
,-80.171978,25.881916,7515],,
,-97.440673,25.882821,3019],,
,-80.161682,25.883725,5357],,
,-97.446216,25.886338,3530],,
,-80.287502,25.886438,5255],,
,-80.218835,25.887248,4231],,
,-80.132151,25.88759,5714],,
,-80.344576,25.887732,5962],,
,-80.301344,25.887751,7318],,
,-80.33641,25.887904,4535],,
